LAMMPS data file. CGCMM style. atom_style charge generated by VMD/TopoTools v1.7 on Sun Mar 21 20:11:17 -0500 2021
 105 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 4 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.0 50.0  xlo xhi
 0.0 50.0  ylo yhi
 0.0 50.0  zlo zhi

# Pair Coeffs
#
# 1  C
# 2  H
# 3  N
# 4  O

 Masses

 1 12.010700 # C
 2 1.007940 # H
 3 14.006700 # N
 4 15.999400 # O

 Atoms # charge

94 2 0.000000 19.927999 17.923000 11.838000 # H
95 1 0.000000 19.356001 18.790001 12.195000 # C
96 3 0.000000 17.936001 18.452999 12.127000 # N
97 4 0.000000 15.431000 21.579000 12.123000 # O
98 1 0.000000 17.087000 19.606001 12.417000 # C
99 2 0.000000 16.042999 19.316999 12.227000 # H
100 3 0.000000 17.599001 17.319000 12.843000 # N
101 4 0.000000 18.493999 16.493000 13.032000 # O
102 2 0.000000 19.073000 21.521000 12.588000 # H
103 4 0.000000 16.431000 17.230000 13.226000 # O
104 2 0.000000 19.657000 18.993999 13.233000 # H
105 2 0.000000 17.172001 19.896000 13.475000 # H

