LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.7 on Mon Mar 22 02:12:33 -0500 2021
 105 atoms
 105 bonds
 0 angles
 0 dihedrals
 0 impropers
 4 atom types
 1 bond types
 0 angle types
 0 dihedral types
 0 improper types
 0.0 50.0  xlo xhi
 0.0 50.0  ylo yhi
 0.0 50.0  zlo zhi

# Pair Coeffs
#
# 1  C
# 2  H
# 3  N
# 4  O

# Bond Coeffs
#
# 1  

 Masses

 1 12.010700 # C
 2 1.007940 # H
 3 14.006700 # N
 4 15.999400 # O

 Atoms # full

79 4 3 0.000000 19.277000 1.302000 13.786000 # N UNL
80 4 4 0.000000 20.172001 0.476000 13.975000 # O UNL
81 4 2 0.000000 20.750999 5.504000 13.531000 # H UNL
82 4 4 0.000000 18.108999 1.213000 14.169000 # O UNL
83 4 2 0.000000 21.334999 2.977000 14.176000 # H UNL
84 4 2 0.000000 18.850000 3.879000 14.418000 # H UNL
85 5 4 0.000000 21.327000 21.386000 11.005000 # O UNL
86 5 3 0.000000 21.024000 20.226000 11.286000 # N UNL
87 5 2 0.000000 19.024000 21.839001 10.838000 # H UNL
88 5 3 0.000000 19.674999 19.926001 11.334000 # N UNL
89 5 4 0.000000 21.806999 19.305000 11.526000 # O UNL
90 5 1 0.000000 18.826000 21.083000 11.609000 # C UNL
91 5 4 0.000000 17.007000 22.916000 11.376000 # O UNL
92 5 3 0.000000 17.410000 20.732000 11.545000 # N UNL
93 5 3 0.000000 16.561001 21.813999 11.693000 # N UNL
94 5 2 0.000000 19.927999 17.923000 11.838000 # H UNL
95 5 1 0.000000 19.356001 18.790001 12.195000 # C UNL
96 5 3 0.000000 17.936001 18.452999 12.127000 # N UNL
97 5 4 0.000000 15.431000 21.579000 12.123000 # O UNL
98 5 1 0.000000 17.087000 19.606001 12.417000 # C UNL
99 5 2 0.000000 16.042999 19.316999 12.227000 # H UNL
100 5 3 0.000000 17.599001 17.319000 12.843000 # N UNL
101 5 4 0.000000 18.493999 16.493000 13.032000 # O UNL
102 5 2 0.000000 19.073000 21.521000 12.588000 # H UNL
103 5 4 0.000000 16.431000 17.230000 13.226000 # O UNL
104 5 2 0.000000 19.657000 18.993999 13.233000 # H UNL
105 5 2 0.000000 17.172001 19.896000 13.475000 # H UNL

 Bonds

1 1 1 13
2 1 1 7
3 1 1 11
4 1 2 11
5 1 2 8
6 1 2 16
7 1 3 9
8 1 3 13
9 1 3 16
10 1 4 11
11 1 5 13
12 1 6 16
13 1 7 10
14 1 7 12
15 1 8 17
16 1 8 14
17 1 9 18
18 1 9 15
19 1 11 19
20 1 13 20
21 1 16 21
22 1 22 23
23 1 23 26
24 1 23 25
25 1 24 27
26 1 25 27
27 1 25 32
28 1 27 39
29 1 27 29
30 1 28 30
31 1 29 30
32 1 29 35
33 1 30 34
34 1 31 32
35 1 32 41
36 1 32 33
37 1 33 37
38 1 33 35
39 1 35 42
40 1 35 36
41 1 37 40
42 1 37 38
43 1 43 44
44 1 44 47
45 1 44 46
46 1 45 48
47 1 46 48
48 1 46 53
49 1 48 60
50 1 48 50
51 1 49 51
52 1 50 51
53 1 50 56
54 1 51 55
55 1 52 53
56 1 53 62
57 1 53 54
58 1 54 58
59 1 54 56
60 1 56 63
61 1 56 57
62 1 58 61
63 1 58 59
64 1 64 65
65 1 65 68
66 1 65 67
67 1 66 69
68 1 67 69
69 1 67 74
70 1 69 81
71 1 69 71
72 1 70 72
73 1 71 72
74 1 71 77
75 1 72 76
76 1 73 74
77 1 74 83
78 1 74 75
79 1 75 79
80 1 75 77
81 1 77 84
82 1 77 78
83 1 79 82
84 1 79 80
85 1 85 86
86 1 86 89
87 1 86 88
88 1 87 90
89 1 88 90
90 1 88 95
91 1 90 102
92 1 90 92
93 1 91 93
94 1 92 93
95 1 92 98
96 1 93 97
97 1 94 95
98 1 95 104
99 1 95 96
100 1 96 100
101 1 96 98
102 1 98 105
103 1 98 99
104 1 100 103
105 1 100 101

